region_type,region,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,season_week,season
States,Indiana,2010,48,NA,0.887189,NA,NA,NA,NA,NA,NA,109,43,12286,2010-11-28,18,2010/11
States,Iowa,2010,48,NA,0.827498,NA,NA,NA,NA,NA,NA,26,10,3142,2010-11-28,18,2010/11
States,Kansas,2010,48,NA,0.719424,NA,NA,NA,NA,NA,NA,66,42,9174,2010-11-28,18,2010/11
States,Kentucky,2010,48,NA,0.673462,NA,NA,NA,NA,NA,NA,111,14,16482,2010-11-28,18,2010/11
States,Louisiana,2010,48,NA,2.66482,NA,NA,NA,NA,NA,NA,443,40,16624,2010-11-28,18,2010/11
States,Maine,2010,48,NA,0.347958,NA,NA,NA,NA,NA,NA,23,31,6610,2010-11-28,18,2010/11
States,Maryland,2010,48,NA,1.86342,NA,NA,NA,NA,NA,NA,167,20,8962,2010-11-28,18,2010/11
States,Massachusetts,2010,48,NA,0.903185,NA,NA,NA,NA,NA,NA,260,54,28787,2010-11-28,18,2010/11
States,Michigan,2010,48,NA,0.564609,NA,NA,NA,NA,NA,NA,88,49,15586,2010-11-28,18,2010/11
States,Minnesota,2010,48,NA,0.855418,NA,NA,NA,NA,NA,NA,51,18,5962,2010-11-28,18,2010/11
States,Mississippi,2010,48,NA,4.88509,NA,NA,NA,NA,NA,NA,829,44,16970,2010-11-28,18,2010/11
States,Missouri,2010,48,NA,1.56732,NA,NA,NA,NA,NA,NA,132,30,8422,2010-11-28,18,2010/11
States,Montana,2010,48,NA,0.0380518,NA,NA,NA,NA,NA,NA,1,6,2628,2010-11-28,18,2010/11
States,Nebraska,2010,48,NA,2.8157,NA,NA,NA,NA,NA,NA,99,15,3516,2010-11-28,18,2010/11
States,Nevada,2010,48,NA,2.89043,NA,NA,NA,NA,NA,NA,325,34,11244,2010-11-28,18,2010/11
States,New Hampshire,2010,48,NA,0.138806,NA,NA,NA,NA,NA,NA,7,29,5043,2010-11-28,18,2010/11
States,New Jersey,2010,48,NA,2.60116,NA,NA,NA,NA,NA,NA,144,24,5536,2010-11-28,18,2010/11
States,New Mexico,2010,48,NA,2.8547,NA,NA,NA,NA,NA,NA,234,25,8197,2010-11-28,18,2010/11
States,New York,2010,48,NA,1.62591,NA,NA,NA,NA,NA,NA,244,105,15007,2010-11-28,18,2010/11
States,North Carolina,2010,48,NA,0.657793,NA,NA,NA,NA,NA,NA,170,77,25844,2010-11-28,18,2010/11
States,North Dakota,2010,48,NA,0.347088,NA,NA,NA,NA,NA,NA,18,17,5186,2010-11-28,18,2010/11
States,Ohio,2010,48,NA,0.349567,NA,NA,NA,NA,NA,NA,59,50,16878,2010-11-28,18,2010/11
States,Oklahoma,2010,48,NA,2.14477,NA,NA,NA,NA,NA,NA,64,16,2984,2010-11-28,18,2010/11
States,Oregon,2010,48,NA,0.718276,NA,NA,NA,NA,NA,NA,27,20,3759,2010-11-28,18,2010/11
States,Pennsylvania,2010,48,NA,1.20878,NA,NA,NA,NA,NA,NA,217,65,17952,2010-11-28,18,2010/11
States,Rhode Island,2010,48,NA,0.765766,NA,NA,NA,NA,NA,NA,51,21,6660,2010-11-28,18,2010/11
States,South Carolina,2010,48,NA,0.509782,NA,NA,NA,NA,NA,NA,37,22,7258,2010-11-28,18,2010/11
States,South Dakota,2010,48,NA,1.10714,NA,NA,NA,NA,NA,NA,62,19,5600,2010-11-28,18,2010/11
States,Tennessee,2010,48,NA,0.805777,NA,NA,NA,NA,NA,NA,106,54,13155,2010-11-28,18,2010/11
States,Texas,2010,48,NA,2.56617,NA,NA,NA,NA,NA,NA,1273,93,49607,2010-11-28,18,2010/11
States,Utah,2010,48,NA,0.838308,NA,NA,NA,NA,NA,NA,66,22,7873,2010-11-28,18,2010/11
States,Vermont,2010,48,NA,1.57528,NA,NA,NA,NA,NA,NA,52,12,3301,2010-11-28,18,2010/11
States,Virginia,2010,48,NA,1.57146,NA,NA,NA,NA,NA,NA,970,88,61726,2010-11-28,18,2010/11
States,Washington,2010,48,NA,0.981767,NA,NA,NA,NA,NA,NA,35,17,3565,2010-11-28,18,2010/11
States,West Virginia,2010,48,NA,1.39059,NA,NA,NA,NA,NA,NA,159,38,11434,2010-11-28,18,2010/11
States,Wisconsin,2010,48,NA,1.27081,NA,NA,NA,NA,NA,NA,71,49,5587,2010-11-28,18,2010/11
States,Wyoming,2010,48,NA,0.593776,NA,NA,NA,NA,NA,NA,29,28,4884,2010-11-28,18,2010/11
States,New York City,2010,48,NA,2.54207,NA,NA,NA,NA,NA,NA,2411,41,94844,2010-11-28,18,2010/11
States,Alabama,2010,49,NA,5.81097,NA,NA,NA,NA,NA,NA,656,37,11289,2010-12-05,19,2010/11
States,Alaska,2010,49,NA,0.797721,NA,NA,NA,NA,NA,NA,14,8,1755,2010-12-05,19,2010/11
States,Arizona,2010,49,NA,2.14835,NA,NA,NA,NA,NA,NA,517,53,24065,2010-12-05,19,2010/11
States,Arkansas,2010,49,NA,1.02064,NA,NA,NA,NA,NA,NA,44,17,4311,2010-12-05,19,2010/11
States,California,2010,49,NA,3.05613,NA,NA,NA,NA,NA,NA,1072,135,35077,2010-12-05,19,2010/11
States,Colorado,2010,49,NA,0.809504,NA,NA,NA,NA,NA,NA,154,12,19024,2010-12-05,19,2010/11
States,Connecticut,2010,49,NA,0.654897,NA,NA,NA,NA,NA,NA,23,11,3512,2010-12-05,19,2010/11
States,Delaware,2010,49,NA,0.361156,NA,NA,NA,NA,NA,NA,9,10,2492,2010-12-05,19,2010/11
States,District of Columbia,2010,49,NA,3.26052,NA,NA,NA,NA,NA,NA,100,4,3067,2010-12-05,19,2010/11
States,Florida,2010,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-12-05,19,2010/11
States,Georgia,2010,49,NA,4.48962,NA,NA,NA,NA,NA,NA,1685,62,37531,2010-12-05,19,2010/11
States,Hawaii,2010,49,NA,2.42215,NA,NA,NA,NA,NA,NA,42,18,1734,2010-12-05,19,2010/11
States,Idaho,2010,49,NA,1.72267,NA,NA,NA,NA,NA,NA,81,13,4702,2010-12-05,19,2010/11
States,Illinois,2010,49,NA,1.85288,NA,NA,NA,NA,NA,NA,732,79,39506,2010-12-05,19,2010/11
States,Indiana,2010,49,NA,0.949958,NA,NA,NA,NA,NA,NA,112,42,11790,2010-12-05,19,2010/11
States,Iowa,2010,49,NA,0.954329,NA,NA,NA,NA,NA,NA,28,10,2934,2010-12-05,19,2010/11
States,Kansas,2010,49,NA,0.828437,NA,NA,NA,NA,NA,NA,86,43,10381,2010-12-05,19,2010/11
States,Kentucky,2010,49,NA,0.598723,NA,NA,NA,NA,NA,NA,90,15,15032,2010-12-05,19,2010/11
States,Louisiana,2010,49,NA,2.80486,NA,NA,NA,NA,NA,NA,492,40,17541,2010-12-05,19,2010/11
States,Maine,2010,49,NA,0.435219,NA,NA,NA,NA,NA,NA,26,31,5974,2010-12-05,19,2010/11
States,Maryland,2010,49,NA,1.55109,NA,NA,NA,NA,NA,NA,153,20,9864,2010-12-05,19,2010/11
States,Massachusetts,2010,49,NA,0.96749,NA,NA,NA,NA,NA,NA,272,54,28114,2010-12-05,19,2010/11
States,Michigan,2010,49,NA,0.563399,NA,NA,NA,NA,NA,NA,85,52,15087,2010-12-05,19,2010/11
States,Minnesota,2010,49,NA,0.584334,NA,NA,NA,NA,NA,NA,37,17,6332,2010-12-05,19,2010/11
States,Mississippi,2010,49,NA,5.33836,NA,NA,NA,NA,NA,NA,878,46,16447,2010-12-05,19,2010/11
States,Missouri,2010,49,NA,1.37036,NA,NA,NA,NA,NA,NA,113,31,8246,2010-12-05,19,2010/11
States,Montana,2010,49,NA,0.0359454,NA,NA,NA,NA,NA,NA,1,6,2782,2010-12-05,19,2010/11
States,Nebraska,2010,49,NA,2.46212,NA,NA,NA,NA,NA,NA,91,16,3696,2010-12-05,19,2010/11
States,Nevada,2010,49,NA,3.28279,NA,NA,NA,NA,NA,NA,394,35,12002,2010-12-05,19,2010/11
States,New Hampshire,2010,49,NA,0.247015,NA,NA,NA,NA,NA,NA,12,30,4858,2010-12-05,19,2010/11
States,New Jersey,2010,49,NA,2.65371,NA,NA,NA,NA,NA,NA,183,24,6896,2010-12-05,19,2010/11
States,New Mexico,2010,49,NA,2.32423,NA,NA,NA,NA,NA,NA,200,25,8605,2010-12-05,19,2010/11
States,New York,2010,49,NA,2.1629,NA,NA,NA,NA,NA,NA,303,103,14009,2010-12-05,19,2010/11
States,North Carolina,2010,49,NA,0.613611,NA,NA,NA,NA,NA,NA,132,75,21512,2010-12-05,19,2010/11
States,North Dakota,2010,49,NA,0.23753,NA,NA,NA,NA,NA,NA,11,18,4631,2010-12-05,19,2010/11
States,Ohio,2010,49,NA,0.342466,NA,NA,NA,NA,NA,NA,55,50,16060,2010-12-05,19,2010/11
States,Oklahoma,2010,49,NA,2.33623,NA,NA,NA,NA,NA,NA,51,15,2183,2010-12-05,19,2010/11
States,Oregon,2010,49,NA,0.980101,NA,NA,NA,NA,NA,NA,33,19,3367,2010-12-05,19,2010/11
States,Pennsylvania,2010,49,NA,1.22407,NA,NA,NA,NA,NA,NA,203,61,16584,2010-12-05,19,2010/11
States,Rhode Island,2010,49,NA,0.635497,NA,NA,NA,NA,NA,NA,42,21,6609,2010-12-05,19,2010/11
States,South Carolina,2010,49,NA,0.484707,NA,NA,NA,NA,NA,NA,29,20,5983,2010-12-05,19,2010/11
States,South Dakota,2010,49,NA,1.16321,NA,NA,NA,NA,NA,NA,64,19,5502,2010-12-05,19,2010/11
States,Tennessee,2010,49,NA,1.10577,NA,NA,NA,NA,NA,NA,122,50,11033,2010-12-05,19,2010/11
