feat,importance,b,q_level
state_city_GA_COLUMBUS,0,0,0.025
state_city_GA_SAVANNAH,8,0,0.025
state_city_HI,7,0,0.025
state_city_IA,0,0,0.025
state_city_IA_CEDAR_RAPIDS,0,0,0.025
state_city_IA_DAVENPORT,0,0,0.025
state_city_IA_DES_MOINES,14,0,0.025
state_city_ID,10,0,0.025
state_city_ID_NAMPA,0,0,0.025
state_city_IL,10,0,0.025
state_city_IL_AURORA,1,0,0.025
state_city_IL_CHICAGO,1,0,0.025
state_city_IL_ELGIN,0,0,0.025
state_city_IL_JOLIET,0,0,0.025
state_city_IL_NAPERVILLE,0,0,0.025
state_city_IL_PEORIA,0,0,0.025
state_city_IL_ROCKFORD,0,0,0.025
state_city_IL_SPRINGFIELD,0,0,0.025
state_city_IN,2,0,0.025
state_city_IN_CARMEL,9,0,0.025
state_city_IN_EVANSVILLE,0,0,0.025
state_city_IN_FORT_WAYNE,0,0,0.025
state_city_IN_SOUTH_BEND,0,0,0.025
state_city_KS,2,0,0.025
state_city_KS_KANSAS_CITY,0,0,0.025
state_city_KS_OLATHE,6,0,0.025
state_city_KS_OVERLAND_PARK,0,0,0.025
state_city_KS_TOPEKA,0,0,0.025
state_city_KS_WICHITA,1,0,0.025
state_city_KY,7,0,0.025
state_city_LA,20,0,0.025
state_city_LA_BATON_ROUGE,5,0,0.025
state_city_LA_LAFAYETTE,0,0,0.025
state_city_LA_NEW_ORLEANS,1,0,0.025
state_city_LA_SHREVEPORT,0,0,0.025
state_city_MA,0,0,0.025
state_city_MA_BOSTON,16,0,0.025
state_city_MA_BROCKTON,6,0,0.025
state_city_MA_CAMBRIDGE,0,0,0.025
state_city_MA_LOWELL,0,0,0.025
state_city_MA_NEW_BEDFORD,0,0,0.025
state_city_MA_SPRINGFIELD,0,0,0.025
state_city_MA_WORCESTER,0,0,0.025
state_city_MD,5,0,0.025
state_city_MD_BALTIMORE,4,0,0.025
state_city_ME,2,0,0.025
state_city_MI,3,0,0.025
state_city_MI_ANN_ARBOR,0,0,0.025
state_city_MI_DEARBORN,0,0,0.025
state_city_MI_DETROIT,1,0,0.025
state_city_MI_GRAND_RAPIDS,0,0,0.025
state_city_MI_LANSING,0,0,0.025
state_city_MI_WARREN,0,0,0.025
state_city_MN,0,0,0.025
state_city_MN_MINNEAPOLIS,0,0,0.025
state_city_MN_ROCHESTER,0,0,0.025
state_city_MO,6,0,0.025
state_city_MO_COLUMBIA,2,0,0.025
state_city_MO_INDEPENDENCE,0,0,0.025
state_city_MO_KANSAS_CITY,0,0,0.025
state_city_MO_SPRINGFIELD,0,0,0.025
state_city_MS,10,0,0.025
state_city_MS_JACKSON,0,0,0.025
state_city_MT,0,0,0.025
state_city_MT_BILLINGS,0,0,0.025
state_city_NC,5,0,0.025
state_city_NC_CHARLOTTE,5,0,0.025
state_city_NC_CONCORD,0,0,0.025
state_city_NC_DURHAM,10,0,0.025
state_city_NC_FAYETTEVILLE,3,0,0.025
state_city_NC_GREENSBORO,1,0,0.025
state_city_NC_HIGH_POINT,0,0,0.025
state_city_NC_RALEIGH,0,0,0.025
state_city_NC_WILMINGTON,0,0,0.025
state_city_NC_WINSTON-SALEM,0,0,0.025
state_city_ND,0,0,0.025
state_city_ND_FARGO,0,0,0.025
state_city_NE,0,0,0.025
state_city_NE_LINCOLN,0,0,0.025
state_city_NE_OMAHA,0,0,0.025
state_city_NH,0,0,0.025
state_city_NH_MANCHESTER,0,0,0.025
state_city_NJ_ELIZABETH,11,0,0.025
state_city_NJ_JERSEY_CITY,5,0,0.025
state_city_NJ_NEWARK,0,0,0.025
state_city_NJ_PATERSON,0,0,0.025
state_city_NM,3,0,0.025
state_city_NM_ALBUQUERQUE,0,0,0.025
state_city_NM_LAS_CRUCES,0,0,0.025
state_city_NV,14,0,0.025
state_city_NV_HENDERSON,0,0,0.025
state_city_NV_LAS_VEGAS,0,0,0.025
state_city_NV_NORTH_LAS_VEGAS,1,0,0.025
state_city_NV_RENO,1,0,0.025
state_city_NV_SPARKS,2,0,0.025
state_city_NY,0,0,0.025
state_city_NY_ALBANY,0,0,0.025
state_city_NY_BUFFALO,0,0,0.025
state_city_NY_NEW_YORK,0,0,0.025
state_city_NY_ROCHESTER,0,0,0.025
state_city_NY_SYRACUSE,0,0,0.025
state_city_NY_YONKERS,0,0,0.025
state_city_OH,0,0,0.025
state_city_OH_AKRON,2,0,0.025
state_city_OH_CINCINNATI,0,0,0.025
state_city_OH_CLEVELAND,3,0,0.025
state_city_OH_COLUMBUS,0,0,0.025
state_city_OH_DAYTON,0,0,0.025
state_city_OH_TOLEDO,0,0,0.025
state_city_OK,2,0,0.025
state_city_OK_BROKEN_ARROW,0,0,0.025
state_city_OK_NORMAN,0,0,0.025
state_city_OK_OKLAHOMA_CITY,0,0,0.025
state_city_OK_TULSA,4,0,0.025
state_city_OR,0,0,0.025
state_city_OR_BEND,9,0,0.025
state_city_OR_GRESHAM,0,0,0.025
state_city_OR_HILLSBORO,0,0,0.025
state_city_OR_PORTLAND,0,0,0.025
state_city_OR_SALEM,0,0,0.025
state_city_PA,0,0,0.025
state_city_PA_ALLENTOWN,1,0,0.025
state_city_PA_PHILADELPHIA,10,0,0.025
state_city_PA_PITTSBURGH,1,0,0.025
state_city_PR,3,0,0.025
state_city_RI_PROVIDENCE,2,0,0.025
state_city_SC,0,0,0.025
state_city_SC_CHARLESTON,2,0,0.025
state_city_SC_COLUMBIA,7,0,0.025
state_city_SD,1,0,0.025
state_city_SD_SIOUX_FALLS,0,0,0.025
state_city_TN,1,0,0.025
state_city_TN_CHATTANOOGA,6,0,0.025
state_city_TN_KNOXVILLE,10,0,0.025
state_city_TN_MEMPHIS,0,0,0.025
state_city_TN_MURFREESBORO,0,0,0.025
state_city_TX,0,0,0.025
state_city_TX_ABILENE,7,0,0.025
state_city_TX_ALLEN,11,0,0.025
state_city_TX_AMARILLO,0,0,0.025
state_city_TX_ARLINGTON,8,0,0.025
state_city_TX_AUSTIN,8,0,0.025
state_city_TX_BEAUMONT,5,0,0.025
state_city_TX_BROWNSVILLE,12,0,0.025
state_city_TX_CARROLLTON,5,0,0.025
state_city_TX_COLLEGE_STATION,0,0,0.025
state_city_TX_CONROE,7,0,0.025
state_city_TX_CORPUS_CHRISTI,5,0,0.025
state_city_TX_DALLAS,7,0,0.025
state_city_TX_DENTON,3,0,0.025
state_city_TX_EDINBURG,0,0,0.025
state_city_TX_EL_PASO,0,0,0.025
state_city_TX_FORT_WORTH,11,0,0.025
state_city_TX_FRISCO,1,0,0.025
state_city_TX_HOUSTON,0,0,0.025
state_city_TX_IRVING,0,0,0.025
state_city_TX_KILLEEN,6,0,0.025
state_city_TX_LAREDO,6,0,0.025
state_city_TX_LEWISVILLE,2,0,0.025
state_city_TX_LUBBOCK,0,0,0.025
state_city_TX_MCALLEN,0,0,0.025
state_city_TX_MCKINNEY,4,0,0.025
state_city_TX_MESQUITE,5,0,0.025
state_city_TX_MIDLAND,0,0,0.025
state_city_TX_NEW_BRAUNFELS,0,0,0.025
state_city_TX_ODESSA,0,0,0.025
state_city_TX_PASADENA,0,0,0.025
state_city_TX_PEARLAND,0,0,0.025
state_city_TX_PLANO,10,0,0.025
state_city_TX_RICHARDSON,9,0,0.025
state_city_TX_ROUND_ROCK,4,0,0.025
state_city_TX_SAN_ANTONIO,0,0,0.025
state_city_TX_SUGAR_LAND,0,0,0.025
state_city_TX_TYLER,0,0,0.025
state_city_TX_WACO,0,0,0.025
state_city_TX_WICHITA_FALLS,0,0,0.025
state_city_UT,0,0,0.025
state_city_UT_PROVO,0,0,0.025
state_city_UT_SALT_LAKE_CITY,0,0,0.025
state_city_UT_WEST_JORDAN,0,0,0.025
state_city_VA,0,0,0.025
state_city_VA_ALEXANDRIA,0,0,0.025
state_city_VA_CHESAPEAKE,7,0,0.025
state_city_VA_HAMPTON,1,0,0.025
state_city_VA_NEWPORT_NEWS,0,0,0.025
state_city_VA_NORFOLK,0,0,0.025
state_city_VA_RICHMOND,15,0,0.025
state_city_VA_SUFFOLK,10,0,0.025
state_city_VA_VIRGINIA_BEACH,0,0,0.025
state_city_VT,1,0,0.025
state_city_WA,0,0,0.025
state_city_WA_BELLEVUE,0,0,0.025
state_city_WA_EVERETT,8,0,0.025
state_city_WA_RENTON,0,0,0.025
state_city_WA_SEATTLE,0,0,0.025
state_city_WA_SPOKANE,0,0,0.025
state_city_WA_TACOMA,1,0,0.025
state_city_WA_VANCOUVER,0,0,0.025
state_city_WI,0,0,0.025
state_city_WI_GREEN_BAY,0,0,0.025
state_city_WI_MADISON,0,0,0.025
state_city_WI_MILWAUKEE,0,0,0.025
state_city_WV,4,0,0.025
state_city_WY,2,0,0.025
delta_xmas,25,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone,66,0,0.025
