location,date,inc
06,2023-05-20,25
06,2023-05-27,26
06,2023-06-03,49
06,2023-06-10,43
06,2023-06-17,36
06,2023-06-24,27
06,2023-07-01,49
06,2023-07-08,26
06,2023-07-15,53
06,2023-07-22,30
06,2023-07-29,37
06,2023-08-05,43
06,2023-08-12,35
06,2023-08-19,31
06,2023-08-26,29
06,2023-09-02,38
06,2023-09-09,42
06,2023-09-16,41
06,2023-09-23,51
06,2023-09-30,47
06,2023-10-07,45
06,2023-10-14,61
06,2023-10-21,51
06,2023-10-28,76
06,2023-11-04,100
06,2023-11-11,227
08,2022-09-03,1
08,2022-09-10,2
08,2022-09-17,3
08,2022-09-24,4
08,2022-10-01,3
08,2022-10-08,2
08,2022-10-15,3
08,2022-10-22,14
08,2022-10-29,27
08,2022-11-05,35
08,2022-11-12,58
08,2022-11-19,107
08,2022-11-26,148
08,2022-12-03,164
08,2022-12-10,237
08,2022-12-17,254
08,2022-12-24,342
08,2022-12-31,315
08,2023-01-07,158
08,2023-01-14,99
08,2023-01-21,37
08,2023-01-28,26
08,2023-02-04,38
08,2023-02-11,27
08,2023-02-18,17
08,2023-02-25,13
08,2023-03-04,19
08,2023-03-11,9
08,2023-03-18,12
08,2023-03-25,10
08,2023-04-01,6
08,2023-04-08,7
08,2023-04-15,18
08,2023-04-22,12
08,2023-04-29,9
08,2023-05-06,7
08,2023-05-13,7
08,2023-05-20,9
08,2023-05-27,10
08,2023-06-03,5
08,2023-06-10,3
08,2023-06-17,6
08,2023-06-24,3
08,2023-07-01,7
08,2023-07-08,3
08,2023-07-15,8
08,2023-07-22,4
08,2023-07-29,3
08,2023-08-05,3
08,2023-08-12,1
08,2023-08-19,0
08,2023-08-26,4
08,2023-09-02,3
08,2023-09-09,7
08,2023-09-16,2
08,2023-09-23,8
08,2023-09-30,12
08,2023-10-07,10
08,2023-10-14,15
08,2023-10-21,16
08,2023-10-28,19
08,2023-11-04,31
08,2023-11-11,52
09,2022-09-03,4
09,2022-09-10,3
09,2022-09-17,5
09,2022-09-24,3
09,2022-10-01,2
09,2022-10-08,2
09,2022-10-15,6
09,2022-10-22,11
09,2022-10-29,36
09,2022-11-05,38
09,2022-11-12,52
09,2022-11-19,103
09,2022-11-26,183
09,2022-12-03,426
09,2022-12-10,394
09,2022-12-17,391
09,2022-12-24,270
09,2022-12-31,241
09,2023-01-07,170
09,2023-01-14,79
09,2023-01-21,36
09,2023-01-28,33
09,2023-02-04,15
09,2023-02-11,15
09,2023-02-18,14
09,2023-02-25,17
09,2023-03-04,10
09,2023-03-11,19
09,2023-03-18,10
09,2023-03-25,13
09,2023-04-01,12
09,2023-04-08,22
09,2023-04-15,11
09,2023-04-22,8
09,2023-04-29,9
09,2023-05-06,7
09,2023-05-13,6
09,2023-05-20,9
09,2023-05-27,12
09,2023-06-03,4
09,2023-06-10,6
